"T";"bias.mean.X";"bias.mean.Z1";"bias.mean.Z2";"bias.mean.Y";"R.mean.X";"R.mean.Z1";"R.mean.Z2";"R.mean.Y";"AC.mean.X";"AC.mean.Z1";"AC.mean.Z2";"AC.mean.Y";"between.mean.X";"between.mean.Z1";"between.mean.Z2";"between.mean.Y";"within.mean.X";"within.mean.Z1";"within.mean.Z2";"within.mean.Y";"bias.sd.X";"bias.sd.Z1";"bias.sd.Z2";"bias.sd.Y";"R.var.X";"R.var.Z1";"R.var.Z2";"R.var.Y";"AC.var.X";"AC.var.Z1";"AC.var.Z2";"AC.var.Y";"pca.1";"pca.2";"pca.3";"pca.4";"pca.5";"bias.est..Intercept.";"bias.est.X";"bias.est.Z1";"bias.est.Z2";"bias.mean.X.LL";"bias.mean.Z1.LL";"bias.mean.Z2.LL";"bias.mean.Y.LL";"R.mean.X.LL";"R.mean.Z1.LL";"R.mean.Z2.LL";"R.mean.Y.LL";"AC.mean.X.LL";"AC.mean.Z1.LL";"AC.mean.Z2.LL";"AC.mean.Y.LL";"between.mean.X.LL";"between.mean.Z1.LL";"between.mean.Z2.LL";"between.mean.Y.LL";"within.mean.X.LL";"within.mean.Z1.LL";"within.mean.Z2.LL";"within.mean.Y.LL";"bias.sd.X.LL";"bias.sd.Z1.LL";"bias.sd.Z2.LL";"bias.sd.Y.LL";"R.var.X.LL";"R.var.Z1.LL";"R.var.Z2.LL";"R.var.Y.LL";"AC.var.X.LL";"AC.var.Z1.LL";"AC.var.Z2.LL";"AC.var.Y.LL";"pca.1.LL";"pca.2.LL";"pca.3.LL";"pca.4.LL";"pca.5.LL";"bias.est..Intercept..LL";"bias.est.X.LL";"bias.est.Z1.LL";"bias.est.Z2.LL";"bias.mean.X.UL";"bias.mean.Z1.UL";"bias.mean.Z2.UL";"bias.mean.Y.UL";"R.mean.X.UL";"R.mean.Z1.UL";"R.mean.Z2.UL";"R.mean.Y.UL";"AC.mean.X.UL";"AC.mean.Z1.UL";"AC.mean.Z2.UL";"AC.mean.Y.UL";"between.mean.X.UL";"between.mean.Z1.UL";"between.mean.Z2.UL";"between.mean.Y.UL";"within.mean.X.UL";"within.mean.Z1.UL";"within.mean.Z2.UL";"within.mean.Y.UL";"bias.sd.X.UL";"bias.sd.Z1.UL";"bias.sd.Z2.UL";"bias.sd.Y.UL";"R.var.X.UL";"R.var.Z1.UL";"R.var.Z2.UL";"R.var.Y.UL";"AC.var.X.UL";"AC.var.Z1.UL";"AC.var.Z2.UL";"AC.var.Y.UL";"pca.1.UL";"pca.2.UL";"pca.3.UL";"pca.4.UL";"pca.5.UL";"bias.est..Intercept..UL";"bias.est.X.UL";"bias.est.Z1.UL";"bias.est.Z2.UL"
1;-3,1337917069294e-05;-0,000154829000479735;-0,00347211049085687;0,0410771858529224;;;;;;;;;;;;;;;;;-0,00551797859609276;0,0102003069870976;0,00512237607976257;-0,0135876227367632;;;;;;;;;0,585291996982655;0,590015272923204;0,589913474251728;0,586813006254771;0,58676651996406;-0,578189864593012;0,0393364292304829;0,0839048157778172;-0,190409956490525;-0,350725424483444;-0,110705037591778;-0,0983202940834797;-0,277884772962187;;;;;;;;;;;;;;;;;-0,289166290967018;-0,0794350636911299;-0,0624934124187002;-0,276967957324237;;;;;;;;;0,532053742760626;0,560968352025696;0,545468260100127;0,554682211017157;0,544521466219605;-14,6606336378185;-0,917223518798096;-0,270832552449667;-0,485085556834632;0,281125177553375;0,122225230576825;0,0816636950082283;0,424068329565473;;;;;;;;;;;;;;;;;0,230803169937698;0,155285876192394;0,0481008715172956;0,273270555952812;;;;;;;;;0,613601845346355;0,614698042645482;0,613337541917986;0,616184623397994;0,612754348005739;10,8270823324405;1,24968409797134;0,404218509921198;0,276586872468051
2;0,0102447210857306;0,00335571756489385;-0,0068310684974527;0,0605806800985176;1,28535129597801;1,31970188467181;1,42466948455141;1,28287891580094;-0,5;-0,5;-0,5;-0,5;0,0124530359442768;0,0513000756638881;0,0254029625565046;0,396549377581694;0,0248969468384764;0,0767211722860019;0,0403919841214623;0,55352881705122;-0,0316980637442737;0,00789883473490928;-0,000318210011820206;-0,0264941742867546;1,23226276344694;1,27310880219219;1,26133988030011;1,30896191824623;-0,5;-0,5;-0,5;-0,5;0,58354084755418;0,582800803524237;0,581928333053583;0,584629451480402;0,586445537502117;0,670095632205138;-0,0571902858969315;0,020258062173951;-0,0206373189348122;-0,244373666861711;-0,0938983802162855;-0,104614429626679;-0,23420534731665;0,848699447832471;0,928907828562303;0,878465409701625;0,874072149988603;-0,5;-0,5;-0,5;-0,5;0,00134837325280276;0,00464241134552668;0,00336626003267657;0,0528108484126941;0,00543529330528001;0,0133241833241644;0,00701600132285982;0,137561433500776;-0,307472329174049;-0,0696124463567258;-0,0609910874561337;-0,302087152697135;0,861197750394011;0,878924404768811;0,858878184971958;0,855785451679313;-0,5;-0,5;-0,5;-0,5;0,544089265685979;0,549051654948561;0,543934887268785;0,539386302865513;0,527067016379325;-12,2758697959766;-0,829646818610679;-0,26984381665222;-0,310266103593007;0,314171522855459;0,111006893062105;0,0791973161605761;0,573530500537401;2,04451583221733;2,18312117238245;2,35658657762911;2,00179889670737;-0,5;-0,5;-0,5;-0,5;0,0306007391906889;0,122391850468902;0,0607563596899126;1,0424836859263;0,0579871973915616;0,203894406756113;0,0952011143299949;1,28873361786654;0,295608591495777;0,140015183197643;0,0507387642776921;0,306395210470311;1,97695618470767;2,16474310443584;2,07221624374978;2,58368539836459;-0,5;-0,5;-0,5;-0,5;0,612555761625958;0,610104955472335;0,610893282487143;0,613147427793618;0,612285267367406;10,1083888850906;1,08868680731997;0,391119075433485;0,300055503239345
3;0,00527712769798335;0,000266859535566573;-0,00632441215186259;0,0746876382960812;1,1298618088817;1,17100613893886;1,2021573383864;1,16154995512257;-0,600163654487245;-0,599670678686937;-0,605540213837996;-0,588003261363973;0,0100150404213866;0,0379466536351762;0,0174064595102696;0,299773741998738;0,0290528176612581;0,0724361297565475;0,0422644725793761;0,61651797292935;-0,0440891071127756;0,00325596052963323;0,000562276403871467;-0,00751074845312242;1,08746806835465;1,14258959136898;1,16528538479157;1,12196384974352;-0,598568206580321;-0,620108458927379;-0,57718632471051;-0,60697585724606;0,58260318246045;0,584776942927672;0,584508604829501;0,581860825926813;0,580096796898775;-0,0508730101740392;0,0148434037666629;-0,0175965639965756;0,012446287102304;-0,336295983992625;-0,0921593604804115;-0,0938279793531632;-0,344398045025566;0,930421966027176;0,925382798000196;0,944758835706185;0,929559140076551;-0,666610403180854;-0,666062768199236;-0,666505295982715;-0,666476731647195;0,000825570516136604;0,00659323185679621;0,000927206591290446;0,0469853411283034;0,00995146425272744;0,0248403885707951;0,0130276127666202;0,255940190343838;-0,334315885304058;-0,0985971423710344;-0,0652674440639493;-0,294414248549369;0,895972406312273;0,925692388094302;0,9340580715201;0,878666621400859;-0,666647945567743;-0,666629387527321;-0,666430173560951;-0,666663630803207;0,542606931344046;0,560124077809604;0,54668727528802;0,549414763120168;0,540261886734036;-13,1722563167569;-0,81670812162259;-0,295689885210838;-0,31857913928954;0,33480873262854;0,120800424677115;0,0706832745571017;0,502703578932869;1,44449478836798;1,51867397906355;1,71912163624366;1,69425674848804;-0,310502973286157;-0,380981679251717;-0,412750983409658;-0,232889883546543;0,0255767023896557;0,110596838225998;0,0488756811940382;0,724902943757388;0,056071021781187;0,150719495356535;0,0791106120534093;1,45358447822519;0,2691192751653;0,146364205027278;0,0790901972722748;0,346459168783979;1,42937802536063;1,61732450921519;1,56908242677895;1,51990103923359;-0,368220188083466;-0,439479697037832;-0,306087160027165;-0,317612099299547;0,605932929029028;0,608624964691326;0,608006573237913;0,605524427175289;0,605935437255641;9,78442254334584;1,10960237990277;0,27642817927446;0,408684175088619
4;-0,0169868834422316;0,0082414669211719;-0,00393353224567111;0,0179216953320289;1,27884489429083;1,32401934771288;1,30704056243789;1,25040056442011;-0,576447630736504;-0,54337203404001;-0,583774231380054;-0,559113396397938;0,00853011541695825;0,028346324758219;0,0138393948904862;0,231711322604642;0,0304116412058832;0,0776892393025119;0,0427882516903234;0,624621824251369;-0,0634845538374033;-0,0035923554413985;-0,00161406264857967;-0,0339369727789344;1,24373154501249;1,25196223494361;1,25037199318767;1,33326019390916;-0,561120254184721;-0,608918701652359;-0,591244636218118;-0,587619707923868;0,585286822173843;0,582760021593896;0,582086536013265;0,582396434280745;0,581620852634069;-0,211134340412653;0,0260994364080055;-0,019367166967308;0,0214215790746937;-0,37063100341706;-0,0892000588571576;-0,0844796497881728;-0,373791098095567;1,03680771954309;1,07787582079928;1,0611919387968;1,02183737474162;-0,802900779185712;-0,783105183868047;-0,803982745351144;-0,800102224370671;0,00120894129206098;0,00654583322112678;0,0023424676372357;0,0362029540950097;0,0137901935116106;0,0341307448719309;0,0195316075182271;0,236124235478031;-0,384665234008166;-0,104699146807684;-0,0538156221964881;-0,345801851434028;1,03241017375459;1,08155608979338;1,02908547348404;1,04489956337947;-0,791995791134599;-0,80066501325064;-0,801291686603601;-0,794956051405739;0,547456096531021;0,548102359418418;0,527458513211054;0,549946257433803;0,543698595241594;-10,450617042758;-0,958548712670602;-0,2805477973901;-0,317791856193504;0,393714118205034;0,134072238950524;0,0914894150577537;0,481899143865968;1,63793160963501;1,98107163861319;1,69679414298043;1,53985516444483;-0,243877081238464;-0,256521620865521;0,117306357606772;-0,236285106434007;0,0193872443888443;0,0870538206393206;0,0305791756493988;0,514187995954689;0,0559646480371957;0,132504215467038;0,0653759143772003;1,1651741498776;0,232267865036212;0,115018445817079;0,0528360743827827;0,362194285802512;1,5281020635109;1,73511357924685;1,61876690758431;1,84714927662138;-0,214793049977812;-0,255234607892954;-0,25618728665891;-0,264877364704701;0,610684728556625;0,607732951006595;0,607391733762624;0,609529043821839;0,607405445046933;12,2771904014304;0,943880156231984;0,308245091159352;0,479580875978605
5;0,00636655206187289;-0,00233067316649616;-0,00138876219356039;0,0247486274798623;1,24711309793876;1,32071182572812;1,31769667936373;1,3046463049504;-0,590534513437531;-0,404063838443471;-0,446346102655976;-0,446077073786213;0,00696526676999557;0,0221632993020488;0,0111941202780591;0,17755607477673;0,0311455923048798;0,0752783981497274;0,0427686330030708;0,645353896527241;-0,0520808788916007;-0,000743322124732435;-0,00601636361915859;-0,0325042514244306;1,24532133219746;1,29257318092362;1,29562392358889;1,34203723859142;-0,468640214700144;-0,468245466184032;-0,44608130916518;-0,45145312254562;0,586435428064886;0,585960198721032;0,581488095800826;0,584416209999729;0,577575594957324;0,579760139492276;-0,0430119451782024;-0,0228057462120391;0,0596127688069059;-0,352064303283287;-0,0999107870967833;-0,0855041543846085;-0,260927414066211;1,01490126212534;1,03326227932848;1,08484117105163;1,02465929378101;-0,831176396302579;-0,83588169855255;-0,810789622957888;-0,779482068225177;0,00156159883829582;0,00362108377691702;0,00118152793317442;0,0246351990355827;0,018677414000229;0,0391922086333545;0,0253060609429992;0,37999903929889;-0,375054397707658;-0,101542660119332;-0,0725538178763329;-0,262483864077102;1,04374444143725;1,0639575084903;1,05636809618914;1,06641509125641;-0,780147284022217;-0,814138302252463;-0,807017167418815;-0,796239688408445;0,549098010396442;0,558589243403616;0,537403573280675;0,545750283555284;0,503925224663557;-10,3986568215971;-0,786016371334735;-0,287086416728825;-0,256909694952019;0,313381750299483;0,101466627649893;0,0669836043368246;0,351255003181312;1,77977354748053;1,92407901480466;1,62972824540314;1,78122100741545;-0,257995450800517;0,46017939013804;0,379041728909022;0,382565810061162;0,0170472936692667;0,0822123970970909;0,0249169665788083;0,445782249034395;0,0600138561183693;0,138605584952644;0,0688359546910595;0,98840318178925;0,203853023430942;0,120371415338982;0,0493037043763389;0,26100898060434;1,5699802627993;1,87079890674708;1,7193626094366;1,85249679234692;0,388335353905397;0,355817945524193;0,427313812077703;0,422927573224751;0,611607842584881;0,61112678737951;0,607881120089144;0,610161483603713;0,611454266051521;9,22132402121194;0,890580948573651;0,381049849560633;0,454299609648432
6;-0,0019734975755259;0,0063997252152009;-0,00868365714195567;0,0367569615492997;1,14019052671666;1,19352440282481;1,16206098992506;1,18162523410144;-0,485077308317362;-0,2525743589654;-0,392131127911832;-0,318611550335752;0,00531451782279667;0,0196771413986348;0,00936370925843698;0,143628775126427;0,0330106678591103;0,0752003001052857;0,0423489826419552;0,654179105831186;-0,0560784446300155;0,00133025552597305;-0,00518095531355049;-0,0143801791613202;1,13078502180325;1,16277072386698;1,1726374602301;1,1692421323682;-0,36783169762931;-0,379044484439775;-0,301408641146172;-0,409019852614269;0,585543007290227;0,57784094761086;0,585132480507113;0,582561922638047;0,582076296951873;0,310078442760399;-0,0194625424170857;-0,0187874287976108;0,035279736228745;-0,263113298180203;-0,0960414613894481;-0,0902834588335547;-0,30898270212269;1,00408754225641;1,03493547110285;1,04708714917338;1,03471284781474;-0,820376064096964;-0,820259430828865;-0,864749080061453;-0,820503910510699;0,00186343316881931;0,00520398779700604;0,00136892517256248;0,0231545726402883;0,0198616882977573;0,0427525979186875;0,0246107145120096;0,426113667964708;-0,38222092491859;-0,0975996291240923;-0,0664403533325701;-0,279525533316003;1,01951367680224;1,03221139561509;1,02985145883562;1,02684208896148;-0,776937710079305;-0,779585887202533;-0,684308690459567;-0,790100340080055;0,552728141772274;0,513421209630731;0,551217011648041;0,52501282267309;0,545335172930864;-11,4101789959773;-0,838309154840207;-0,311836187891302;-0,322568219316335;0,282286795285162;0,0763521616897791;0,0647016020521691;0,426170424110418;1,30514715586799;1,508414394684;1,4331084644259;1,42865116851769;0,404605934488582;0,556524716585226;0,522538424301263;0,506958098135071;0,013637070068031;0,0618714882500079;0,0195808148422926;0,348937871183354;0,0576629865955977;0,118595702332556;0,0675172381130196;0,996580251524969;0,247253333823882;0,15718200835479;0,0519744431924293;0,348914588240063;1,36876574656317;1,38340732737191;1,48576720698669;1,45528998097379;0,508985907422341;0,479840467498764;0,478271849849493;0,465379211316296;0,610142639330436;0,606326705035826;0,611339312408722;0,606542851771505;0,60906036120191;9,92836509608867;0,966647499694335;0,367427969956463;0,429434477470218
7;0,0115084551303295;0,00935058863643565;-0,00552739487065595;0,0365848703499201;1,16851106459864;1,21303040437404;1,17875896032804;1,2145599279064;-0,398967280173971;-0,0997503803121077;-0,332391155539822;-0,148275361285484;0,00453005345987392;0,0165062588667635;0,00791302999606366;0,121610412777217;0,0332186874738723;0,0747362395637462;0,0437157336228202;0,677162718644204;-0,044160834782189;0,00321947531295899;-0,00530215834015746;-0,0320651468749256;1,15140519390319;1,17156804429922;1,17430494440799;1,17164944925307;-0,304069658992421;-0,262780136168484;-0,292928682564428;-0,321354625195158;0,586588444568549;0,582190181381073;0,584335186103396;0,58645996947278;0,585136329721719;0,916327968080645;-0,074348699351484;-0,000214899299470276;0,035383647261197;-0,301408899695712;-0,132880625460562;-0,0948304980617039;-0,374311741857521;1,05302195487237;1,05462351470604;1,05371731820237;1,03697292415555;-0,777143765780511;-0,71215314914916;-0,827876276917081;-0,730223949880725;0,00124466409262581;0,00369188299172316;0,00127205755627156;0,030349982379567;0,0192887823686952;0,0448687861294926;0,0261025232656747;0,424651421173769;-0,387475170824315;-0,0938165601840686;-0,0647350969817897;-0,278367978871944;1,00136391221566;1,04746665329866;1,03776189655283;1,03159644480472;-0,751203982898161;-0,734114488207854;-0,732458915897902;-0,744335555721837;0,542763037037298;0,527437502174235;0,553638705883073;0,547127206779423;0,555314083960006;-12,6481385676832;-0,890825586230224;-0,350757647849791;-0,263837388240144;0,325195818658941;0,0978951988584554;0,0805609890060734;0,496907473620833;1,35319362703418;1,47242788278427;1,44393056412776;1,46738042803953;0,482259071892912;0,573882359867871;0,620837783555152;0,63448264000033;0,0100421280693577;0,0420730817780342;0,0192893964358851;0,350117457131169;0,0549671808464567;0,119739225174095;0,0645129041367137;1,05565150010584;0,202147508988805;0,129736863022512;0,0445714059494766;0,278601243306679;1,38564275285389;1,41900593586352;1,35127554431523;1,37512230269808;0,446036840344199;0,504026488689695;0,490768210284317;0,588513250569374;0,608843853502287;0,612765028428051;0,611907108639482;0,611465269258311;0,605235932742039;9,75535073377282;1,13102770517862;0,32245414710423;0,414082904660887
8;-0,0141787884033926;0,0102043234045742;-0,00514213634787611;0,0421326134720601;1,11055303597529;1,14902545950514;1,1153207197992;1,15692891024314;-0,340329525359382;-0,192814260947299;-0,208255471725045;-0,0409287932634111;0,00387313687523053;0,0146457832728129;0,00700134408787952;0,118881527259393;0,0326894805282437;0,0742003020779787;0,0433617611220558;0,672060685808977;-0,0503366108713271;-0,00170977201822849;-0,0025768473539072;-0,025887168692998;1,09819049667832;1,12110642438802;1,10111513883538;1,11644869448466;-0,269184335038482;-0,234979089089885;-0,280944542981345;-0,356328271673404;0,584441699047943;0,582374777333988;0,580904852552501;0,585554212705614;0,582566726424549;0,666497649820339;-0,046306274641854;-0,0150163028662994;0,0498930528728627;-0,284032196524157;-0,092925815321766;-0,104522380722827;-0,241113571133238;1,0222868656981;1,05430224794954;1,03009283674163;1,02423885283842;-0,774592008120766;-0,734532536554317;-0,671498498759724;-0,676831582534703;0,000844641690776845;0,00274769012817343;0,00122471013789471;0,021417154635774;0,0183503137842788;0,0494830358325849;0,0256000881439479;0,422376307141916;-0,32839400646829;-0,0909325593788708;-0,0597309476545193;-0,323721797902088;1,00391214649139;1,03621193472404;1,01018978622519;1,03777175783675;-0,690869811491317;-0,656280175609027;-0,714998805296098;-0,766782552790771;0,545826658201692;0,546076678527975;0,540508273280929;0,547466444121163;0,533270023323132;-10,0073615902149;-1,19909159890277;-0,324480023178006;-0,233318369508644;0,263281400543089;0,104449732447793;0,0739588623916908;0,406617859919787;1,26998958422584;1,38104552638526;1,32038589117396;1,39472206209351;0,579846707405116;0,599412920680324;0,633575654386331;0,634468533257613;0,0100037228041684;0,0332568795368154;0,0152265318211905;0,310452353192628;0,0533517928066506;0,128673113927198;0,0621715907400788;1,06587026612474;0,208681867400633;0,114051249137455;0,0585435437607434;0,301223298685999;1,19463518554169;1,23921246709522;1,22907592502496;1,35129901193055;0,468455929823307;0,576101930094936;0,581482130227413;0,466504031408104;0,612098968059248;0,607532971275707;0,608793885231524;0,610651840335321;0,608337052522311;14,5561771212527;0,886983162336509;0,453877082415277;0,501249081080751
9;0,000270111101711414;0,000283372738291705;-0,00273860853224472;0,0577788722040834;1,11014427919636;1,14197558585254;1,12898039752645;1,1610501281179;-0,27988826838968;-0,094411640102815;-0,176684109941305;-0,053219957852761;0,00327051552869152;0,0122771983150882;0,00633384826954409;0,105472174045733;0,0321604308994202;0,074530954505583;0,043004878270113;0,672392033829441;-0,0589272819388812;-0,000908344122388627;0,00127967774899695;-0,0437951228238123;1,11149814293946;1,12736428558595;1,09714531471299;1,11044986419485;-0,255635481160674;-0,218621899050827;-0,19270994787689;-0,263084450324835;0,582014679884274;0,583219808542995;0,584381800848729;0,58239759373404;0,586350158724066;0,24437955196738;-0,0114408581286759;-0,0126214965877899;0,0328688196472441;-0,296018612998289;-0,0860120696117226;-0,0877287736293425;-0,253045795893973;1,01035666631603;1,03089017729975;1,01803355317211;1,04098741930849;-0,65852841565759;-0,678137881831393;-0,667198216775512;-0,708880984552196;0,000466057919444135;0,00170114418086198;0,00127576203824317;0,0161183741756521;0,0199671879406872;0,0455920212888285;0,028235329055055;0,462420076923456;-0,312417475709603;-0,0890664157320286;-0,0633813856611868;-0,354014163311394;1,02161173222278;1,04420947792283;1,01732760169834;1,01407273144794;-0,689609101780069;-0,664860267462215;-0,697284338305202;-0,750791048678195;0,541528408484642;0,55321145219882;0,556764438954157;0,528882428142878;0,562025979399229;-11,3082324960907;-1,26453479369891;-0,268967822592336;-0,317631852654761;0,388633087632766;0,103689334849124;0,0771237218171666;0,441963710214136;1,20411117925986;1,31660172686492;1,29023770358749;1,35431281575526;0,609196115672942;0,627095903940741;0,628453419818395;0,555390698264554;0,00778698577797848;0,0318441499696803;0,0133403808337916;0,258370839803259;0,0524965652737242;0,124641151393863;0,0585304576857055;1,06122047252987;0,241697308252982;0,132631831914051;0,0511964764717199;0,310115527675041;1,22529019916694;1,22697962949538;1,22003177201948;1,2456697457693;0,480217248745648;0,499842468399457;0,461883476014601;0,545445462096821;0,6052634035794;0,607858618459758;0,613359556730613;0,615578821899523;0,613480653069246;15,7477020448016;0,977521309022906;0,393289236950472;0,356813354869775
10;0,00376575713992345;0,00715317709393684;-0,00835423060837797;0,0374209293874743;1,08165066183631;1,11043103711606;1,0977218619427;1,10262529991231;-0,253933878398739;-0,099510293730703;-0,102811827060792;0,0158625766789746;0,00290259707532293;0,0113524738918123;0,00559809288254691;0,0896131303101365;0,0319355178261624;0,0741936555081845;0,0421480257546299;0,681722656105617;-0,0642773324902093;-0,00171636713673061;-0,00246317211353848;-0,0289618207547107;1,08048364069648;1,08767306505333;1,07955768862359;1,08169559257822;-0,279321168542263;-0,198268121002491;-0,211845632586957;-0,233218106618133;0,583480039745054;0,584448897787348;0,58239907009573;0,58494677707989;0,58437531048636;0,365068340607317;-0,0271628376299558;-0,0133827607225305;0,0478423863844189;-0,301965806952588;-0,104778722954597;-0,0875748317860775;-0,271323374687906;1,00726453703415;1,02620545907182;1,02557511977495;1,00580256588878;-0,650814811927617;-0,692492038155418;-0,622320854902447;-0,623397545429339;0,000468686487800452;0,00156008120274141;0,000697517819313213;0,0151420858313647;0,0188227940394408;0,0493020401192834;0,0274562796289901;0,442248177737181;-0,355524025065735;-0,0867117138460415;-0,0618566016989363;-0,352478065460103;1,00696658705263;1,01209230275629;1,0092357647271;1,0114396542617;-0,678471705290469;-0,646237313060466;-0,728706150714717;-0,627075367071974;0,551904333763828;0,545083516267157;0,546199253005723;0,559576490285285;0,529493715146071;-10,8667357343434;-0,947602103804864;-0,288261944620298;-0,24144261720338;0,343532401272473;0,123261261202084;0,086509660198087;0,38410812748322;1,18552655259159;1,28098924998853;1,20977667578914;1,2598479757308;0,620511514903843;0,549087170467825;0,645688834375432;0,546043962671653;0,00732387537963578;0,0307981320212972;0,012019323540121;0,263493795986695;0,052521509313342;0,12135073469141;0,0559598764288706;1,05732424925863;0,223350478634392;0,131362918776876;0,0491844539957621;0,314637379579838;1,15971036160402;1,21030780076171;1,16812339661398;1,17961394812481;0,521472115867785;0,566892245557405;0,482695192566116;0,504901439328273;0,610296684270612;0,613585213183888;0,606768785320987;0,605316949225958;0,608532991608603;11,2783578574883;0,92074873849522;0,33948722345457;0,352488373778325
