"It.";"bias";"CIW";"cov";"R_mean";"R_var";"AC_mean";"AC_var"
1;-0,128417215937069;0,921730756181509;0,93;;;;
2;-0,00193093872345041;0,915116930118183;0,94;1,6855891151604;1,70907286787757;-0,5;-0,5
3;0,012195731362372;0,922994216542304;0,96;1,3167206558521;1,32636614654634;-0,660775244055542;-0,659002949456909
4;0,0190632436875355;0,89213670245064;0,97;1,46138077676465;1,4637602777412;-0,734863365612869;-0,746204750061282
5;0,0145315218542718;0,905788633170167;0,91;1,48568978033485;1,47199746085242;-0,705884413128533;-0,705129209327042
6;0,0102366492935927;0,927935960105029;0,95;1,25232078945899;1,26108985213576;-0,651249890196004;-0,666821883492326
7;0,00557402598430949;0,907621049705281;0,91;1,25944088311235;1,26655238157778;-0,619454779193145;-0,584076820209566
8;0,017732047179636;0,919697328288344;0,94;1,17839812487427;1,18120326473624;-0,515930787989851;-0,548956124028668
9;0,0107448306307431;0,993763715005099;0,94;1,19042085877417;1,18620207266952;-0,505521567024247;-0,487820516739086
10;0,0196218463227598;0,940112578575015;0,9;1,14224071033695;1,14477508895833;-0,447573785573741;-0,420151548140678
11;0,0136343479301276;0,988994123875709;0,99;1,14800613686298;1,14882433426615;-0,413537462953845;-0,329577791464821
12;0,0105613037989992;0,97173021872295;0,95;1,11108525824002;1,12178312825183;-0,334530392586228;-0,346620071681088
13;0,0157770212254452;0,983423572929195;0,93;1,1132985732523;1,12219428855142;-0,33760270988557;-0,340242914366986
14;0,0157000862932962;0,890543289943439;0,94;1,09511378051834;1,10372614197938;-0,349240140593804;-0,335916099761184
15;0,00909825640090267;0,917193171457928;0,96;1,09787978571575;1,10894260586616;-0,255903150105298;-0,288643631602547
16;0,0126491949357293;0,912929264057307;0,97;1,08453242035472;1,08575904931408;-0,267127005202132;-0,264315418292249
17;0,0282389671841024;0,951495996918205;0,96;1,08819192581544;1,08395617968327;-0,201274958614407;-0,239517224141409
18;0,00372934235598553;0,911320511130281;0,94;1,07727584234364;1,07184268306817;-0,195621178756434;-0,250658801824142
19;0,0181890131549777;0,903318254792567;0,89;1,0795809972157;1,07405837437049;-0,175726685660355;-0,237753107597929
20;0,0200942515169241;0,847819272456165;0,93;1,06892865763489;1,06486318922287;-0,179167429094361;-0,214252855631706
21;0,0114064456372302;0,948091641649656;0,91;1,06754119606764;1,06661399121371;-0,198888629301158;-0,187189621132657
22;0,0252965505740866;0,892200506249788;0,95;1,06012626000112;1,05964769925883;-0,178568036350246;-0,165285614143594
23;0,0135157319972922;0,925117889678206;0,96;1,05864321467314;1,0622394725066;-0,180917650161899;-0,182659884880402
24;0,0118802532967254;0,953882639734858;0,96;1,05285885498384;1,05400043641439;-0,147045418843466;-0,169727503359594
25;0,026335586343492;0,89744541111011;0,97;1,05420683217278;1,05420831349503;-0,1456591337699;-0,130658692704859
26;0,0284355571667197;0,947229879501504;0,94;1,04967569906076;1,04862732624433;-0,152613258629525;-0,103593789852999
27;0,0211790442274137;0,920706736822921;0,95;1,04900877325045;1,05028558602563;-0,133408859704903;-0,114717979291809
28;0,0197909710907582;0,879707587911315;0,94;1,04576837278233;1,04635634379046;-0,113385671758782;-0,105207205251845
29;0,0191187067309054;0,89923947879917;0,94;1,04762411818603;1,04630975535586;-0,104945051829281;-0,109992198760565
30;0,0105627919766817;0,899289852226829;0,96;1,04398873439683;1,04250911080109;-0,13019504339839;-0,128586328909889
31;0,0105500604834581;0,936492204044753;0,93;1,04387046796762;1,04441076321794;-0,0944181712918602;-0,0911646185410243
32;0,00246456490061415;0,910141694390075;0,99;1,04085566753695;1,04158913956555;-0,0957236161999413;-0,114194875133088
33;0,00403128967606004;0,904681591188467;0,94;1,0410737373681;1,04070965452004;-0,105784129261;-0,0936765404515532
34;0,0146352847896923;0,945066143423456;0,94;1,03869289822192;1,03856117408611;-0,0937116107087706;-0,107665205604541
35;0,0168694943146805;0,975564670015018;0,96;1,03929704015663;1,03903494300484;-0,09115556984008;-0,110456678138477
36;0,0146337581065307;0,891237797613313;0,94;1,03683288715296;1,03598017974933;-0,0895538632598929;-0,0917226948279688
