"It.";"bias";"CIW";"cov";"R_mean";"R_var";"AC_mean";"AC_var"
1;-0,170254749813187;0,964456374074166;0,961;;;;
2;-0,0583396343371957;0,942402814961659;0,998;1,63022789335069;1,61637475191514;-0,5;-0,5
3;-0,0412932333151242;0,941209648822103;0,997;1,30552976171513;1,3053371417883;-0,658727045626704;-0,658971678697695
4;-0,0473819674226627;0,94600968783639;0,997;1,4603529741343;1,45318064481256;-0,732476568798974;-0,737927412362596
5;-0,0462705664340785;0,930268869628367;0,999;1,47179433019037;1,46753361094932;-0,704150547739433;-0,708085054321607
6;-0,0459028435944458;0,927129072716254;0,999;1,25399372433917;1,25204711553679;-0,655225716441638;-0,658732978039021
7;-0,0436383280706577;0,945414720442263;1;1,26008024406793;1,26486165003977;-0,588033068743235;-0,584430130206583
8;-0,0441689873849673;0,934670500450596;0,996;1,18017155267952;1,18241744649016;-0,505202324993995;-0,521447822057159
9;-0,0443660101169887;0,941272450096516;0,993;1,18731970215468;1,18629383569243;-0,447479537987891;-0,465381658858802
10;-0,0460200960232693;0,933601473178443;0,998;1,14082065068121;1,13939057203816;-0,40891431431467;-0,415957998477345
11;-0,0437591219819106;0,932849981953485;0,996;1,1443436629472;1,14298785541345;-0,371855375690548;-0,367797226388297
12;-0,0439391692787244;0,925881110030526;0,995;1,11418189844987;1,11379680155816;-0,33041984196491;-0,341203222330283
13;-0,0408542309419848;0,950518196794981;0,998;1,11571026829347;1,1166134303749;-0,30302976218306;-0,305879901564363
14;-0,0424778790433856;0,955364778466;0,995;1,09471423595521;1,0963948515689;-0,288712488089366;-0,285976025368805
15;-0,0408752533188349;0,952653992775236;0,997;1,09652627511358;1,09884086836292;-0,263107002339026;-0,264996571030635
16;-0,0421693402982057;0,95236228510482;0,994;1,08258730945109;1,08463985941724;-0,242733025355653;-0,250618011356869
17;-0,0407303816458453;0,95999373465852;0,996;1,08447246812881;1,08588844683127;-0,214817060500607;-0,244150464359603
18;-0,0409530514828499;0,947200543334821;0,996;1,07317645474601;1,07359934823756;-0,201757558983155;-0,239585232842755
19;-0,0438544244446113;0,947472879175963;0,994;1,0745570551679;1,07509639684389;-0,175042371176122;-0,238615596237004
20;-0,0424082453108608;0,927046472578117;0,996;1,06615666635426;1,06574599227816;-0,167760934162986;-0,224503559924166
21;-0,0431336547582288;0,94563393996229;0,997;1,06682443094557;1,06749840195515;-0,159479433809855;-0,200403341531464
22;-0,0393053500121103;0,926370410982396;0,994;1,05987225494227;1,06026869657703;-0,161872862735041;-0,200730186835266
23;-0,0409613581031655;0,930927816422069;0,991;1,06080390177692;1,06147820559075;-0,138970387137122;-0,202085380149065
24;-0,0416194069254495;0,935833166400986;0,999;1,05435620262685;1,05467606791413;-0,131232536045686;-0,183837429316823
25;-0,0410670149828967;0,945355516298051;0,997;1,05552438279399;1,05538318053173;-0,123441740970365;-0,17515101417381
26;-0,042425416439766;0,939441095077383;0,995;1,05057195918704;1,05070763061897;-0,112128591035378;-0,157844512403736
27;-0,0426821087704748;0,949209858000325;0,995;1,05102057085778;1,05157487474247;-0,109775683664814;-0,154228320185278
28;-0,0397537883852935;0,944027356675055;0,997;1,04651845877674;1,04678612700601;-0,11636774782921;-0,146843589448311
29;-0,0459321961906341;0,958499162240885;0,995;1,04720324788745;1,04761456897624;-0,104847443330047;-0,151257283060696
30;-0,0442347368153224;0,942880552835364;0,998;1,04315553447714;1,04368262091435;-0,0981898886097035;-0,151244774828919
31;-0,037702328484746;0,935538512228072;0,998;1,04376130765616;1,04438885350108;-0,0972188506269044;-0,130380290879956
32;-0,0461658589721958;0,940318535524354;0,994;1,0405337378587;1,040989521957;-0,0893803839365505;-0,137474708194831
33;-0,0498486151769427;0,955550868353893;0,995;1,04108785766915;1,04118849128274;-0,0883506395550557;-0,130706959324936
34;-0,046485909045412;0,937797913302244;0,998;1,03855645142782;1,03844003172936;-0,0854312713129789;-0,120288580145249
35;-0,0404941223852324;0,949197028164147;0,995;1,0389392532416;1,03886170567172;-0,0844867344912625;-0,129471536840274
36;-0,0412735149809434;0,947774112344097;0,998;1,03623833864388;1,0362749341186;-0,0723779021392187;-0,124916920733642
37;-0,042214151011509;0,942226814647243;0,993;1,03671702472474;1,03672144147381;-0,0670127038622533;-0,12729531105248
38;-0,043735095796647;0,950546348854891;0,994;1,03424116369516;1,03438881596661;-0,0677586745526252;-0,125083366745867
39;-0,0433840937720983;0,955568029269357;0,995;1,03490426148676;1,03462091872808;-0,0703270356899757;-0,115989675092705
40;-0,0468780289353559;0,96194743734414;0,997;1,0328151011942;1,03240604009348;-0,0676021153275245;-0,110872033680035
41;-0,043067964292859;0,947285160970555;0,995;1,03307446957183;1,03264643232372;-0,0643347830814749;-0,105202738670608
42;-0,0402239413782166;0,96749228664879;0,995;1,03121014633904;1,03072008498734;-0,0589582834068508;-0,0971637574089446
43;-0,0469119146202316;0,951448813068203;0,997;1,03150346681446;1,03106623543635;-0,051433576801742;-0,0939205502954053
