"It.";"bias";"CIW";"cov";"R_mean";"R_var";"AC_mean_X";"AC_mean_Z1";"AC_mean_Z2";"AC_mean_Y";"AC_var_X";"AC_var_Z1";"AC_var_Z2";"AC_var_Y"
1;-0,214395808757873;1,21288952323379;0,9;;;;;;;;;;
2;-0,103595142525878;0,992874130288432;1;1,41758774567742;1,4832752247624;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5
3;-0,071671531730142;1,04218642547552;1;1,29606527938988;1,35155814232906;-0,615841801612551;-0,649432109374732;-0,536242060850787;-0,545074373254375;-0,635004474306048;-0,636294504018459;-0,573706288150544;-0,543795305223191
4;-0,0660870262853595;0,869901824715194;1;1,421924589129;1,37688473742291;-0,629919496738215;-0,593593635852134;-0,522254329048046;-0,536311525144957;-0,608514131127468;-0,529040468185932;-0,50831293509753;-0,523486082093839
5;-0,0811894940502956;1,1417978642412;1;1,39893036322081;1,4656655504317;-0,599393796356507;-0,57462026927941;-0,545896338471713;-0,534713750979444;-0,580233507747412;-0,440313270178673;-0,566841723636448;-0,382626327635535
6;-0,113087666280083;0,950142585279297;1;1,2733785288919;1,24145381817131;-0,499862650051688;-0,564270813568248;-0,421702689784317;-0,45612550058196;-0,431319978956777;-0,418267421697334;-0,538606324315379;-0,318452151641936
7;-0,121337163878028;0,76169517339731;0,9;1,24047358422281;1,25003137002053;-0,452690994694338;-0,446460157042486;-0,125582583619855;-0,34159134061511;-0,172465875941708;-0,306545728183744;-0,44563957400482;-0,152646138235359
8;-0,0878773305854377;0,73221255388107;1;1,20036012971296;1,16772002354088;-0,348586971405699;-0,524504932957824;-0,115646943653804;-0,298958902448827;-0,209280924463399;-0,504881062773631;-0,364279559537942;-0,176921492796576
9;-0,04139064581558;0,90176512863072;1;1,21439740290819;1,17680085630386;-0,269385694291209;-0,26976756568824;-0,187430698369136;-0,328066351290904;-0,224857458551982;-0,470891974998179;-0,115866165524622;-0,17003351190534
10;-0,105649063004784;0,755686563028097;0,8;1,14930750751912;1,14565528399494;-0,281170885115884;-0,354176596093856;-0,211091886048226;-0,127888804922164;-0,38104802256628;-0,46812751435227;-0,0822878469178674;-0,12592402017227
11;-0,0893930909759705;1,02047557164615;1;1,12081376145371;1,14500470253975;-0,232207292034696;-0,367246434795121;-0,337303554388413;-0,0548553681439461;-0,197791033091999;-0,347589511325625;0,00105010236484817;-0,0515791048912777
12;-0,0822339827981641;0,869657770577296;1;1,10649324879209;1,10341441180659;-0,229352552785892;-0,317431020378957;-0,307880338395112;-0,127730789817739;-0,0759884691647154;-0,414725940502181;-0,0689587569053515;0,069037277710607
13;-0,0679593363196395;0,812946371052437;1;1,11595826337712;1,11432101395247;-0,0900556620131616;-0,369120301411139;-0,141268544923749;-0,138384088400487;-0,199038099774623;-0,326056159552908;-0,0945866212715849;0,00542749751076437
14;-0,0684514343159885;0,964826107608607;1;1,10221421887282;1,09348280477212;-0,112380835617246;-0,240100194648042;-0,280527855053474;-0,0741734292564904;-0,0810287976088203;-0,138662021821144;-0,146481063331841;-0,0109581821422018
15;-0,0571725658223047;0,920049018788642;1;1,11464023078144;1,0895349172137;-0,0950942001326223;-0,271995787443438;-0,132438705938958;-0,0662952729190897;-0,0353708254270023;-0,101106979156953;-0,212172490493514;0,0672664413271568
16;-0,103727355801259;0,750479265778419;0,9;1,09861123999922;1,07865804673635;-0,0604054151395634;-0,268601414769125;-0,185950478363981;-0,0711753365841994;0,0115978847076758;-0,170766060339533;-0,15886792517741;0,0667213126625471
17;-0,0421046145734151;0,715276840443888;0,9;1,09876099326586;1,08258351549418;-0,0574235126903047;-0,282949209109674;-0,247592724455123;-0,0689101767566609;0,00935722749783375;-0,00827373839759482;-0,147331764887809;0,0254212817394877
18;-0,101405156766443;0,820032071083481;1;1,09380094733407;1,0661760083695;-0,132755975602639;-0,180607168523573;-0,125623738462805;-0,140082651806277;0,0481521056656652;-0,0879300886513688;-0,153635355331816;0,0143738284252046
