"It.";"bias";"CIW";"cov";"R_mean";"R_var";"AC_mean";"AC_var"
1;-0,102683098720118;0,963201875758954;0,96;;;;
2;-0,00231197194152029;0,908140712298666;0,91;1,71875477929661;1,67979209765323;-0,5;-0,5
3;-0,00203264958046458;0,921440236645107;0,97;1,33465686507699;1,31809139150099;-0,661745494095911;-0,660476451076084
4;-0,0026411479138554;0,944877688376245;0,98;1,48829691802829;1,48253672719499;-0,730607914227822;-0,734267824375159
5;0,00372010031261396;0,917282873308006;0,96;1,52236187790472;1,5133336285249;-0,70459984992731;-0,718686266884948
6;-0,0102630267364543;0,935423009176682;0,98;1,27381461656154;1,27195084798231;-0,639928563083088;-0,640062805624506
7;0,00151209589834503;0,918829571449476;0,93;1,27834440969634;1,25275507793372;-0,540101763225661;-0,591609966839782
8;-0,0141101995655789;0,897183808465178;0,98;1,18304580193124;1,17845723553096;-0,503210189571194;-0,527871499822722
9;-0,00710684926564483;0,921278560750712;0,95;1,18802340400626;1,18910709905306;-0,374295072713925;-0,529326044080645
10;-0,0127331841775973;0,84852167740981;0,94;1,15057655690126;1,14239178372229;-0,303164485487945;-0,420236201033564
11;-0,0107242543591513;0,895645660903561;0,93;1,15658309936431;1,14617873138215;-0,257444427170333;-0,386350413681832
12;-0,0171479413177716;0,978473445367479;0,94;1,12383670469114;1,11396410908958;-0,254350655850631;-0,344056141738072
13;-0,00951555769894556;0,946551300805115;0,98;1,12842761745541;1,11532468406063;-0,262370182235181;-0,280433870341512
14;0,0029115523554051;0,940048169187979;0,95;1,09878326672122;1,09385939459895;-0,234870884573059;-0,274405378019602
15;-0,0072301571853988;0,89276817677933;0,93;1,10035544906861;1,09385217512064;-0,222902642316797;-0,273356032865645
16;-0,0232404614453151;0,963096141651806;0,95;1,08519145081565;1,08040361970651;-0,207591823810604;-0,241672260049668
17;-0,0109497669078034;0,980233236457102;0,98;1,08556061653537;1,08423000189389;-0,213146449220833;-0,244088622929051
18;0,00508032314573337;0,905013788858077;0,98;1,07415023501147;1,07605624335536;-0,189979198662781;-0,211166014561504
19;0,00304682435169607;0,888749333803103;0,95;1,07600943062714;1,07832943966973;-0,211272218008039;-0,149607845608616
20;-0,003210136877413;0,875049514436133;0,95;1,06802590052119;1,06752567743236;-0,176352908871324;-0,127045085818685
21;-0,00341705958730612;0,902461136249412;0,95;1,07149652767411;1,0664799819089;-0,144897014488254;-0,156318423795592
22;-0,00406981832761283;0,913415340046996;0,98;1,06243743470742;1,05793087425277;-0,139188917103167;-0,1519629747613
23;-0,000179242353131768;0,955087923890901;0,99;1,06336500722465;1,05812333248229;-0,164473557556714;-0,134368701330372
24;0,00185284109346324;0,890573604747242;0,94;1,0580557024182;1,05375175650783;-0,0989536517300738;-0,130921178229833
25;-0,0180103427549686;0,931940684826965;0,95;1,05773855807136;1,05429633703477;-0,0886651483320741;-0,139492077954253
26;-0,00772048848814406;0,881536847383347;0,94;1,05213629277238;1,05024637329523;-0,106265292390565;-0,115760989678355
27;-0,0198745263627591;0,904855483425503;0,96;1,05222609460717;1,05094248847148;-0,114449921262181;-0,112574665872518
28;-0,00585850679908067;0,90811810199584;0,96;1,04652077716835;1,04611066098133;-0,11266447654368;-0,0952369355135901
29;-0,00094106425912188;0,962557747069642;0,99;1,04777346215982;1,0462115721557;-0,0926516124064887;-0,0979765293300367
30;-0,00389703854157609;0,845978131287992;0,93;1,04218186195571;1,04146957614789;-0,0600441206171191;-0,0934621800267709
31;-0,00886313896626696;0,929413399316792;0,98;1,04312990978021;1,04283703616819;-0,0837165572640656;-0,103505690958199
32;-0,014292257878351;0,936275021695282;0,98;1,03921379185668;1,0401665019365;-0,0313567826201812;-0,0884886286618117
33;-0,00169952666943908;0,956801381005846;0,98;1,04044431058649;1,03911793268769;-0,0511318832272764;-0,0777915035950534
34;0,00253513565445422;0,855208815627394;0,94;1,03827313878091;1,03567875379629;-0,0449801005940169;-0,0987255531995622
35;-0,0114170540761895;0,953156570794533;0,97;1,03856062735087;1,03650019688557;-0,056719807459793;-0,099518905553605
36;-0,01463601636719;0,900353335022441;0,96;1,03527961094967;1,03377902313778;-0,0551168863601643;-0,10320721646904
37;-0,0129327976940647;0,935106255856823;0,98;1,03634476838749;1,03348940598719;-0,0563616257630241;-0,0851438682247754
38;-0,0120931530349927;0,877231376685281;0,95;1,03449737191762;1,03105223047408;-0,0630648019707163;-0,0928865375855459
39;-0,0050994426629635;0,854739322609221;0,97;1,0347312987708;1,03213772375958;-0,0636927125155796;-0,0860641530809086
40;-0,0166219477261881;0,893598705462615;0,96;1,03254371970835;1,03084797351756;-0,0874851748388483;-0,0895816096621667
41;-0,0109523706367464;0,934454439857393;0,97;1,03324086691095;1,03025358110273;-0,113777625246179;-0,076724026774367
