"It.";"Bias";"CI width";"Cov. rate";"R chain mean";"R chain var";"AC chain mean";"AC chain var"
1;-0,16867318580927;0,768260322860668;0,879;;;;
2;-0,0229461740449893;0,728857785270253;0,958;1,6588152815057;1,63152593786084;-0,5;-0,5
3;-0,00307330192832883;0,723441550201602;0,949;1,31730075278601;1,31112376965354;-0,659889180098052;-0,659446471815153
4;-6,87312719764155e-05;0,724593423228177;0,96;1,45824008443557;1,44499170370184;-0,733542648696856;-0,734116120535886
5;0,00144630129379369;0,724141529076443;0,963;1,46999919507834;1,47272200173969;-0,705484731468962;-0,707833465070015
6;-0,000127688315016167;0,731974856088647;0,952;1,25828858256396;1,25881489265767;-0,657512789003894;-0,65131315659805
7;0,000938808806460778;0,716271296390329;0,946;1,26463038464283;1,26680784937449;-0,599930855351753;-0,582924165600826
8;0,00295533914577618;0,735485258516127;0,962;1,18213388114229;1,18131728149284;-0,503925420466136;-0,511770913366758
9;0,00193970394131397;0,726798975647719;0,953;1,18743265223197;1,18556743592905;-0,452268547795495;-0,473635703729693
10;0,00027506092402016;0,745426677580317;0,945;1,13951899014205;1,13843086843008;-0,41142828399723;-0,420842989187929
11;0,00320593131818251;0,731095220332054;0,952;1,14190658997989;1,14343749163171;-0,370370935111478;-0,405399066565284
12;-0,00447098393160413;0,720647838342461;0,951;1,11411830641215;1,11378624285397;-0,338568094234972;-0,358786371131674
13;-0,00245937259313702;0,741388499943227;0,969;1,11732219354741;1,11537642819149;-0,324454103739931;-0,339203586502632
14;-0,000155538226774534;0,723951951656376;0,954;1,09719755374426;1,09448981812534;-0,297765847223588;-0,310287109201614
15;0,000562290315679163;0,729994590705384;0,963;1,09846903492283;1,09799815904664;-0,277515978996133;-0,289857695462217
16;0,00200236059067408;0,720489649302926;0,948;1,08367337258309;1,08358728777752;-0,25446719224997;-0,274753634186784
17;0,0043122435414133;0,71994143246287;0,949;1,08649909460006;1,08470600116726;-0,225724412819844;-0,253894964978842
18;-0,00240755331718083;0,717382588002178;0,952;1,07460011766899;1,07299095350277;-0,225690117906793;-0,253580862110235
19;0,00249215381146587;0,71522400962362;0,937;1,07588202300999;1,074888336716;-0,213109938189271;-0,22197018481683
20;0,00277838963313871;0,70408915368038;0,95;1,06682986404175;1,06621535702401;-0,198461642008852;-0,215567702962348
21;0,000823191514020622;0,739318688823674;0,955;1,06779803073152;1,06717744213108;-0,194123508852047;-0,198980216096517
22;0,00196600826819521;0,719092733480325;0,961;1,06027276665454;1,06015042179868;-0,189164840004524;-0,184317027255623
23;-0,000691728461421377;0,745423706791127;0,955;1,06138618667613;1,06153430964324;-0,175998396021695;-0,190006832876672
24;0,00188877086073001;0,723800280346219;0,959;1,05579864071237;1,05554456186046;-0,156327212518751;-0,172692359063608
25;0,00260726567691925;0,730742618062301;0,958;1,05653572291615;1,05670533037763;-0,158797531503385;-0,145471074471503
26;0,00481358999216099;0,719006630913143;0,946;1,05131785367934;1,05157643321063;-0,142992925258094;-0,148780457118762
27;0,0025703409095997;0,723149881681234;0,949;1,05209561813424;1,05196082465462;-0,136486869870496;-0,148766608878967
28;0,00497222484376674;0,714276381854981;0,948;1,04749254240551;1,0474799413898;-0,121611967821045;-0,142723601424378
29;0,00133121112858112;0,7210067624716;0,94;1,0479445846694;1,04816398970137;-0,113078693900949;-0,147720869696724
30;0,0033240083835742;0,727316954149394;0,962;1,04449213418724;1,04410748721903;-0,113109948558613;-0,132627697834263
